,video_file,start_tone,middle_tone,end_tone,Transition_val,social_message,Topic,Split,clip_feature_path,Link
10,volvo_a_new_beginning.mkv,negative,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volvo_a_new_beginning.pkl,https://www.youtube.com/embed/6E9c7R01OKc
11,kia_brent.mkv,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_brent.pkl,https://www.youtube.com/embed/tOFqzxydidY
12,mobil1_porsche_bull.mp4,neutral,neutral,neutral,No transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mobil1_porsche_bull.pkl,https://player.vimeo.com/video/108874863
13,nissan_stories_by_the_million_fog.mp4,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/nissan_stories_by_the_million_fog.pkl,https://player.vimeo.com/video/144336283
14,dacia_the_lawn_mower.mkv,positive,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dacia_the_lawn_mower.pkl,https://www.youtube.com/embed/Js6xPwd107Q
15,eon_lets_renew_sweden.mkv,neutral,neutral,positive,Transition,Yes,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/eon_lets_renew_sweden.pkl,https://www.youtube.com/embed/j0QMyEFXIvw
16,midas_project_spark_hands.mp4,negative,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/midas_project_spark_hands.pkl,https://www.youtube.com/embed/TdyaiARdSVo
17,whiskas_iris_and_thula.mkv,negative,negative,positive,Transition,No,Misc,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/whiskas_iris_and_thula.pkl,https://www.youtube.com/embed/tXO3ldXcxZE
18,midas_project_spark_anthem.webm,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/midas_project_spark_anthem.pkl,https://www.youtube.com/embed/ET44KgYlfFc
19,coldwell_banker_somebody_to_love.webm,positive,positive,positive,No transition,No,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/coldwell_banker_somebody_to_love.pkl,https://www.youtube.com/embed/y9mRJyHjqUw
20,renault_theme_park.webm,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_theme_park.pkl,https://www.youtube.com/embed/ZVqhKjxCYEA
21,con_edison_your_power.mkv,positive,positive,positive,No transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/con_edison_your_power.pkl,https://www.youtube.com/embed/MZDoIJWCjuE
22,fiat_heated_seats.mp4,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/fiat_heated_seats.pkl,https://player.vimeo.com/video/268663221
23,toyota_drive_your_obsession.mkv,positive,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_drive_your_obsession.pkl,https://www.youtube.com/embed/gv1v0aKwfh8
24,bonami_the_dog.mp4,neutral,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/bonami_the_dog.pkl,https://player.vimeo.com/video/238832946
25,erectastep_8th_wonder_of_the_world.mp4,positive,positive,positive,No transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/erectastep_8th_wonder_of_the_world.pkl,https://www.youtube.com/embed/8INRvIgVXFQ
26,ram_trucks_school_talk.mkv,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ram_trucks_school_talk.pkl,https://www.youtube.com/embed/LGIVBbrhvFY
27,kia_the_suv_out_of_nowhere.mkv,positive,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_the_suv_out_of_nowhere.pkl,https://www.youtube.com/embed/Et6KcFJ8kTc
28,gasco_lord_cochrane_1666.mkv,negative,negative,negative,No transition,No,Industrial and agriculture,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/gasco_lord_cochrane_1666.pkl,https://www.youtube.com/embed/NbPUgSHN8B8
29,renault_drive_the_future.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_drive_the_future.pkl,https://www.youtube.com/embed/jTOvtcunHoY
30,abarth_wasteland.mp4,negative,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/abarth_wasteland.pkl,https://player.vimeo.com/video/268944436
31,renault_design.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_design.pkl,https://www.youtube.com/embed/V1TwbySwY6g
32,mitsubishi_daughter.mkv,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mitsubishi_daughter.pkl,https://www.youtube.com/embed/FQGE-sVBrU4
33,volkswagen_transporter_vs_telekinesis.mp4,negative,negative,negative,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_transporter_vs_telekinesis.pkl,https://player.vimeo.com/video/238747336
34,promart_long_way.mp4,neutral,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/promart_long_way.pkl,https://player.vimeo.com/video/185404272
35,ferrari_ferrari_488_pista.mp4,neutral,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ferrari_ferrari_488_pista.pkl,https://www.youtube.com/embed/DS6Qe0tiIq8
36,mercedes_4fathers.mkv,neutral,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mercedes_4fathers.pkl,https://www.youtube.com/embed/lVJURoLHPHI
37,volkswagen_red_flashy_thingy.mp4,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_red_flashy_thingy.pkl,https://player.vimeo.com/video/254454629
38,ford_performance_speed_therapy.mkv,neutral,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_performance_speed_therapy.pkl,https://www.youtube.com/embed/dZ_RVptsMYU
39,energy_upgrade_california_its_easy_to_stay_golden.mp4,positive,negative,positive,Transition,No,Industrial and agriculture,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/energy_upgrade_california_its_easy_to_stay_golden.pkl,https://www.youtube.com/embed/orys6Bjp3d4
40,volkswagen_transporter_vs_bodybuilders.mp4,negative,positive,neutral,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_transporter_vs_bodybuilders.pkl,https://player.vimeo.com/video/238748152
41,polestar_the_break_up.mkv,negative,positive,positive,Transition,Yes,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/polestar_the_break_up.pkl,https://www.youtube.com/embed/HwGXhZBtqrQ
42,kingfisher_plc_start_something_new.mp4,negative,negative,positive,Transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kingfisher_plc_start_something_new.pkl,https://www.youtube.com/embed/Esga8INE-BY
43,volkswagen_crashed_cases.mkv,negative,neutral,positive,Transition,Yes,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_crashed_cases.pkl,https://www.youtube.com/embed/L4r5_-eEkL0
44,loctite_conference.webm,neutral,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/loctite_conference.pkl,https://www.youtube.com/embed/EnhlTamQEIY
45,italian_trade_commission_made_in_italy.mkv,positive,neutral,neutral,Transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/italian_trade_commission_made_in_italy.pkl,https://www.youtube.com/embed/s_5OkTViEEQ
46,dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.mkv,positive,positive,positive,No transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_anna.pkl,https://www.youtube.com/embed/xtMKi8vFuDM
47,buster_punch_switch_up.webm,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/buster_punch_switch_up.pkl,https://www.youtube.com/embed/CRQ7zRBM64U
48,nissan_simply_amazing.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/nissan_simply_amazing.pkl,https://www.youtube.com/embed/RfswYPmqf2A
49,ikea_gul_45.mp4,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_gul_45.pkl,https://player.vimeo.com/video/216659111
50,dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.webm,neutral,neutral,neutral,No transition,No,Misc,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/dreamies_all_it_takes_is_a_shake_cat_borrowers_grandma.pkl,https://www.youtube.com/embed/_fYQUSHlFtE
51,volkswagen_born_confident.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_born_confident.pkl,https://www.youtube.com/embed/Vgf95HwBS9o
52,herman_miller_achairworthfightingfor.mp4,neutral,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/herman_miller_achairworthfightingfor.pkl,https://www.youtube.com/embed/QASRLpsD41U/l/PLIYvBdCzc6dE3uKJv2t7K1t1dLYr72p2i
53,hyundai_make_quality_time_celebration.mp4,positive,positive,negative,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/hyundai_make_quality_time_celebration.pkl,https://www.youtube.com/embed/jtOn6eLg4lY
54,adalskodun_the_heist.mp4,negative,negative,negative,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/adalskodun_the_heist.pkl,https://player.vimeo.com/video/143302492
55,geocell_dont_cut_down_decorate.mkv,positive,positive,positive,No transition,No,Industrial and agriculture,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/geocell_dont_cut_down_decorate.pkl,https://www.youtube.com/embed/lpPBJ7gdoX8
56,audi_you_dare_or_you_dont.mkv,negative,neutral,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/audi_you_dare_or_you_dont.pkl,https://www.youtube.com/embed/_M6icajSj0M
57,skoda_km_converter.mp4,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/skoda_km_converter.pkl,https://www.youtube.com/embed/OTbVCdRAtrc
58,ford_vampire_kid.webm,neutral,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_vampire_kid.pkl,https://www.youtube.com/embed/kwHziCpoKuU
59,socal_honda_dealers_sleigh_wash.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/socal_honda_dealers_sleigh_wash.pkl,https://www.youtube.com/embed/u6-tME2N21s
60,volkswagen_simple_joys.mp4,neutral,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_simple_joys.pkl,https://player.vimeo.com/video/294239640
61,renault_koleos_tv.mkv,negative,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_koleos_tv.pkl,https://www.youtube.com/embed/_7q6_z7WxE8
62,jechangefr_sacrifices.mkv,neutral,negative,neutral,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/jechangefr_sacrifices.pkl,https://www.youtube.com/embed/8KDsyrwv35w
63,ikea_survivor.mp4,negative,positive,positive,Transition,No,Household,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_survivor.pkl,https://player.vimeo.com/video/168767606
64,shell_tsg_euroshell_clients_forest.mp4,negative,positive,positive,Transition,Yes,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/shell_tsg_euroshell_clients_forest.pkl,https://www.youtube.com/embed/-DjjkkTr9E0
65,loctite_circle.mkv,neutral,positive,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/loctite_circle.pkl,https://www.youtube.com/embed/2gqznGl2pAI
66,ikea_every_other_week.mp4,positive,positive,positive,No transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_every_other_week.pkl,https://player.vimeo.com/video/182557020
67,schmackos_the_german_shepherd.mp4,positive,positive,positive,No transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/schmackos_the_german_shepherd.pkl,https://player.vimeo.com/video/179140086
68,mitsubishi_more_everything.mkv,neutral,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mitsubishi_more_everything.pkl,https://www.youtube.com/embed/8l55dujCEck
69,kia_work_blind_spot.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kia_work_blind_spot.pkl,https://player.vimeo.com/video/165207213
70,sniff_the_clasico_dogs.mkv,positive,positive,positive,No transition,Yes,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/sniff_the_clasico_dogs.pkl,https://www.youtube.com/embed/mQN6F-2aOEo
71,kohler_jealous.mkv,positive,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kohler_jealous.pkl,https://www.youtube.com/embed/iHOTlODFQ_A
72,renault_polar_limited_edition.mp4,negative,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_polar_limited_edition.pkl,https://player.vimeo.com/video/306194628
73,chevrolet_names.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/chevrolet_names.pkl,https://www.youtube.com/embed/3jqrG-WkznE
74,land_rover_martians_detected.webm,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/land_rover_martians_detected.pkl,https://www.youtube.com/embed/903dSEXgQgY/l/PLEJkjr_GztwIp5Qg-ADMmWBPpR44Mri4g
75,leroy_merlin_lifes_adventure.mkv,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/leroy_merlin_lifes_adventure.pkl,https://www.youtube.com/embed/mgLLbCY9L4o
76,my_dog_beach.mkv,positive,positive,positive,No transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/my_dog_beach.pkl,https://www.youtube.com/embed/58RcM81rEYc
77,petsafe_catspiracy.mkv,neutral,positive,positive,Transition,No,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/petsafe_catspiracy.pkl,https://www.youtube.com/embed/jMaVOBB2yFQ
78,mercedes_38_seconds_part_4.mp4,neutral,positive,positive,Transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mercedes_38_seconds_part_4.pkl,https://www.youtube.com/embed/jK8gbbjnWAM
79,toyota_pasta.mp4,positive,positive,positive,No transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_pasta.pkl,https://www.youtube.com/embed/eaxLwyVizPA
80,avis_massage.mkv,neutral,negative,neutral,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/avis_massage.pkl,https://www.youtube.com/embed/A_3VlciMz7k
81,valvoline_bike.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/valvoline_bike.pkl,https://www.youtube.com/embed/aJ9eZqzMf-E
82,pfister_the_science_of_xtract.mkv,positive,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/pfister_the_science_of_xtract.pkl,https://www.youtube.com/embed/9y-3g-UxQb8
83,seventh_generation_trees_bees.mkv,negative,negative,neutral,Transition,Yes,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/seventh_generation_trees_bees.pkl,https://www.youtube.com/embed/OlOdsQ8zCww
84,bmw_bmw_x5_0.mkv,neutral,neutral,neutral,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/bmw_bmw_x5_0.pkl,https://www.youtube.com/embed/rJb41F0tkxU
85,litterrobot_the_cat_sheet.mkv,positive,positive,positive,No transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/litterrobot_the_cat_sheet.pkl,https://www.youtube.com/embed/KjUNTSoMf18
86,volvo_made_by_sweden.mkv,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volvo_made_by_sweden.pkl,https://www.youtube.com/embed/3KquHpO2VWI
87,audi_projection_of_greatness.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/audi_projection_of_greatness.pkl,https://www.youtube.com/embed/FNAtk0td8aM
88,yellawood_sketch_pad.mkv,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/yellawood_sketch_pad.pkl,https://www.youtube.com/embed/03Ak45chVA8
89,porsche_black_ink.mkv,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/porsche_black_ink.pkl,https://www.youtube.com/embed/H5OldPkPCA4
90,citroen_wooden2cv.mp4,neutral,positive,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/citroen_wooden2cv.pkl,https://www.youtube.com/embed/bWCCb_u6_IM
91,volkswagen_chance_encounter.mp4,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_chance_encounter.pkl,https://player.vimeo.com/video/294608973
92,bunga_montessory_space_the_lighthouse_the_sea.mp4,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/bunga_montessory_space_the_lighthouse_the_sea.pkl,https://www.youtube.com/embed/5kmD5fOE03I
93,toyota_two_bold_wishes.mp4,neutral,positive,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_two_bold_wishes.pkl,https://player.vimeo.com/video/179212994
94,hefty_checkout.mp4,positive,positive,positive,No transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/hefty_checkout.pkl,https://www.youtube.com/embed/DuKysvkYL7Y
95,hills_relentless.mkv,neutral,positive,positive,Transition,No,Misc,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/hills_relentless.pkl,https://www.youtube.com/embed/D928ER9WlVU
96,volkswagen_hello_light.webm,neutral,neutral,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_hello_light.pkl,https://www.youtube.com/embed/qEvNL6oEr0U
97,glad_thank_you.mkv,negative,positive,positive,Transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/glad_thank_you.pkl,https://www.youtube.com/embed/dNLCE2rT9TI
98,yellawood_break_free.mkv,positive,positive,positive,No transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/yellawood_break_free.pkl,https://www.youtube.com/embed/bBumPB7j-xQ
99,oncor_keep_away_from_power_lines.mkv,negative,positive,positive,Transition,No,Industrial and agriculture,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/oncor_keep_away_from_power_lines.pkl,https://www.youtube.com/embed/9ObIRmC9-zA
100,bobble_live_for_once.mkv,positive,negative,positive,Transition,Yes,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/bobble_live_for_once.pkl,https://www.youtube.com/embed/OuGvJUc0ZPI
101,toyota_start_your_impossible_chris_vos.mp4,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_start_your_impossible_chris_vos.pkl,https://www.youtube.com/embed/egMExkcW07E
102,mini_cooper_created_in_a_countryman.mp4,positive,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mini_cooper_created_in_a_countryman.pkl,https://player.vimeo.com/video/292772379
103,hedef_filo_waking_up.mkv,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/hedef_filo_waking_up.pkl,https://www.youtube.com/embed/hXnPLUsgEOU
104,land_rover_branching_out.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/land_rover_branching_out.pkl,https://www.youtube.com/embed/e-JGuqnZ69I
105,kao_nyantomo_letters_from_my_cat.mkv,negative,negative,positive,Transition,No,Misc,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/kao_nyantomo_letters_from_my_cat.pkl,https://www.youtube.com/embed/BSLqY8EI9Bk
106,west_elm_accent_color.mkv,neutral,positive,positive,Transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/west_elm_accent_color.pkl,https://www.youtube.com/embed/nR3wfkyGv0Q
107,mercedes_habits.webm,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/mercedes_habits.pkl,https://www.youtube.com/embed/-77xbrEBKtQ
108,laminex_midnight_and_moose.mp4,positive,positive,neutral,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/laminex_midnight_and_moose.pkl,https://www.youtube.com/embed/V9OOAMEe0Yg
109,ikea_feel_alive_again.mkv,negative,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ikea_feel_alive_again.pkl,https://www.youtube.com/embed/3dOfl-SYOUw
110,engen_petroleum_put_a_little_f1_in_your_tank.mkv,positive,positive,positive,No transition,No,Industrial and agriculture,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/engen_petroleum_put_a_little_f1_in_your_tank.pkl,https://www.youtube.com/embed/ziPcDL9ahio
111,citroen_citroen_inspired_by_you_since_1919.mkv,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/citroen_citroen_inspired_by_you_since_1919.pkl,https://www.youtube.com/embed/WvCuM3FNcWQ
112,westland_horticulture_lawn_man_tv.mp4,positive,negative,positive,Transition,No,Household,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/westland_horticulture_lawn_man_tv.pkl,https://player.vimeo.com/video/211697759
